albatross,kansas,june 28
vulture,kentucky,april 03
stork,michigan,august 16
heron,new york,july 12
albatross,kentucky,june 18
little grebe,michigan,july 13
common teal,missouri,june 28
bald eagle,michigan,june 16
flamingo,kansas,october 07
common teal,michigan,august 15
albatross,missouri,may 29
shoebill,new york,july 22
bald eagle,kentucky,july 28
vulture,new york,july 11
bald eagle,michigan,august 16
heron,kansas,october 02
vulture,kentucky,october 20
common teal,maine,july 11
little grebe,maine,july 18
bald eagle,kentucky,june 19
bald eagle,new york,september 12
shoebill,missouri,july 11
shoebill,michigan,august 10
stork,michigan,august 18
little grebe,missouri,june 18
vulture,kansas,august 09
shoebill,maine,july 12
stork,kansas,august 28
shoebill,new york,june 24
albatross,maine,november 07
albatross,kansas,april 25
albatross,missouri,september 22
stork,kentucky,july 20
albatross,new york,august 25
heron,kansas,may 30
flamingo,kentucky,may 18
common teal,missouri,august 02
stork,new york,july 14
little grebe,new york,july 03
long-tailed duck,maine,september 08
vulture,maine,july 28
common teal,new york,june 15
common teal,missouri,august 20
vulture,maine,september 26
bald eagle,missouri,august 06
bald eagle,michigan,august 19
flamingo,missouri,july 10
shoebill,kansas,june 09
albatross,missouri,may 28
stork,kansas,august 29
shoebill,kansas,july 06
albatross,kansas,august 14
flamingo,kentucky,september 19
flamingo,new york,may 10
long-tailed duck,kansas,july 22
long-tailed duck,kansas,july 27
stork,maine,june 05
common teal,kentucky,june 20
little grebe,missouri,july 20
common teal,missouri,july 07
heron,new york,august 15
heron,michigan,june 08
long-tailed duck,kansas,may 29
bald eagle,missouri,july 18
little grebe,maine,august 19
heron,new york,september 30
bald eagle,michigan,may 24
common teal,kentucky,may 12
heron,new york,december 01
common teal,maine,july 05
heron,kansas,july 16
flamingo,kansas,april 17
long-tailed duck,maine,september 13
common teal,new york,july 24
common teal,michigan,september 06
flamingo,michigan,june 16
stork,missouri,june 20
heron,kentucky,october 11
bald eagle,michigan,august 09
shoebill,kansas,august 08
stork,new york,june 18
heron,missouri,june 13
common teal,kentucky,may 28
bald eagle,new york,august 05
vulture,new york,august 10
albatross,kentucky,august 02
heron,kentucky,june 25
vulture,michigan,november 05
little grebe,michigan,november 06
long-tailed duck,kansas,august 18
flamingo,maine,july 29
flamingo,maine,july 01
vulture,missouri,september 12
flamingo,kentucky,july 03
vulture,kentucky,february 27
bald eagle,kansas,july 07
flamingo,new york,july 04
albatross,new york,september 05
flamingo,kentucky,august 17
flamingo,maine,august 26
albatross,kansas,june 25
bald eagle,kentucky,july 01
bald eagle,kansas,july 29
little grebe,kansas,may 29
vulture,maine,july 08
flamingo,kansas,august 31
stork,missouri,july 15
albatross,michigan,august 15
long-tailed duck,maine,july 12
stork,michigan,june 02
bald eagle,kentucky,july 11
heron,kentucky,august 08
albatross,missouri,april 22
